year,State,total_donations,Population in '000,"Donations per 100,000"
2006,Johor,8487,3134.4,270.7695253
2006,Kedah,30056,1847.5,1626.847091
2006,Kelantan,5328,1507.6,353.4093924
2006,Kuala Lumpur,133474,1577.5,8461.10935
2006,Melaka,6976,755,923.9735099
2006,Negeri Sembilan,3887,967,401.9648397
2006,Pahang,3258,1421.2,229.2428933
2006,Perak,53,2279.3,2.325275304
2006,Pulau Pinang,0,1484.1,0
2006,Sabah,2936,2962.9,99.09210571
2006,Sarawak,121,2324.9,5.204524926
2006,Selangor,3975,4986.2,79.72002728
2006,Terengganu,20341,995.9,2042.474144
2007,Johor,6462,3193.5,202.3485204
2007,Kedah,27126,1874.2,1447.337531
2007,Kelantan,9786,1529.1,639.9843045
2007,Kuala Lumpur,145600,1603.3,9081.269881
2007,Melaka,24078,772.8,3115.68323
2007,Negeri Sembilan,13284,983.5,1350.686324
2007,Pahang,3237,1441.4,224.5733315
2007,Perak,53,2306.4,2.297953521
2007,Pulau Pinang,0,1507.8,0
2007,Sabah,12706,3032.3,419.0218646
2007,Sarawak,180,2366.1,7.607455306
2007,Selangor,18184,5127.1,354.6644302
2007,Terengganu,18682,1010.4,1848.970705
2008,Johor,9336,3252.3,287.0583894
2008,Kedah,42739,1900.2,2249.184296
2008,Kelantan,11308,1549.8,729.6425345
2008,Kuala Lumpur,155405,1628.9,9540.487446
2008,Melaka,26107,790.5,3302.593295
2008,Negeri Sembilan,13723,999.6,1372.84914
2008,Pahang,3140,1461.6,214.8330597
2008,Perak,23714,2331.6,1017.069823
2008,Pulau Pinang,0,1531.3,0
2008,Sabah,18820,3105.1,606.0996425
2008,Sarawak,12532,2408.4,520.3454576
2008,Selangor,17769,5268.5,337.2686723
2008,Terengganu,13774,1025.2,1343.542723
2009,Johor,25702,3309.4,776.6362483
2009,Kedah,44862,1925.3,2330.130369
2009,Kelantan,11520,1570,733.7579618
2009,Kuala Lumpur,162692,1652.8,9843.417231
2009,Melaka,26653,807.8,3299.455311
2009,Negeri Sembilan,13001,1014.9,1281.012908
2009,Pahang,3414,1481.7,230.4110144
2009,Perak,26092,2355.7,1107.611326
2009,Pulau Pinang,0,1554.3,0
2009,Sabah,19571,3181.1,615.2274371
2009,Sarawak,15843,2450.8,646.4419781
2009,Selangor,21668,5417.8,399.9409354
2009,Terengganu,14262,1040.7,1370.423753
2010,Johor,32535,3362.9,967.4685539
2010,Kedah,47301,1949.3,2426.563382
2010,Kelantan,12607,1589.9,792.9429524
2010,Kuala Lumpur,152946,1674.8,9132.194889
2010,Melaka,27341,823.6,3319.694026
2010,Negeri Sembilan,14111,1029.5,1370.665372
2010,Pahang,3322,1501.9,221.1864971
2010,Perak,28340,2379,1191.256831
2010,Pulau Pinang,0,1575.9,0
2010,Sabah,18483,3260,566.9631902
2010,Sarawak,16798,2487.1,675.4050903
2010,Selangor,24769,5502.1,450.1735701
2010,Terengganu,14610,1055.4,1384.309267
2011,Johor,32812,3410.5,962.0876704
2011,Kedah,53314,1971.8,2703.823917
2011,Kelantan,10916,1618.8,674.3266617
2011,Kuala Lumpur,160551,1693,9483.225044
2011,Melaka,27532,833.2,3304.368699
2011,Negeri Sembilan,14498,1047.4,1384.189421
2011,Pahang,7458,1526.8,488.4726225
2011,Perak,32125,2402.7,1337.037499
2011,Pulau Pinang,0,1601,0
2011,Sabah,20253,3345.5,605.3803617
2011,Sarawak,16542,2527.9,654.377151
2011,Selangor,25947,5600.3,463.3144653
2011,Terengganu,14803,1079,1371.918443
2012,Johor,34180,3450.4,990.6097844
2012,Kedah,53664,2001.1,2681.725051
2012,Kelantan,9052,1651,548.2737735
2012,Kuala Lumpur,162027,1702.1,9519.240938
2012,Melaka,27807,843.2,3297.794118
2012,Negeri Sembilan,14299,1057.7,1351.895623
2012,Pahang,12587,1547.1,813.5867106
2012,Perak,33604,2427,1384.590029
2012,Pulau Pinang,0,1623.2,0
2012,Sabah,21333,3432.7,621.4641536
2012,Sarawak,17072,2569.7,664.3577071
2012,Selangor,24383,5702.4,427.5918911
2012,Terengganu,14718,1094.1,1345.215245
2013,Johor,34370,3474.4,989.2355515
2013,Kedah,54989,2039.8,2695.80351
2013,Kelantan,10351,1683.5,614.8500149
2013,Kuala Lumpur,166823,1723.4,9679.876987
2013,Melaka,29156,856.7,3403.291701
2013,Negeri Sembilan,15834,1072.2,1476.776721
2013,Pahang,11491,1568.7,732.5173711
2013,Perak,38515,2447.2,1573.83949
2013,Pulau Pinang,0,1662.6,0
2013,Sabah,22326,3611.5,618.191887
2013,Sarawak,19548,2642.5,739.7540208
2013,Selangor,22589,5904.7,382.5596559
2013,Terengganu,13915,1113.4,1249.775463
2014,Johor,35820,3559.8,1006.236305
2014,Kedah,57014,2062.7,2764.047123
2014,Kelantan,10504,1723.4,609.4928629
2014,Kuala Lumpur,175260,1737.4,10087.48705
2014,Melaka,28079,871.7,3221.17701
2014,Negeri Sembilan,14785,1079.6,1369.4887
2014,Pahang,11550,1591.7,725.6392536
2014,Perak,38455,2458.8,1563.974296
2014,Pulau Pinang,27069,1678.1,1613.07431
2014,Sabah,22507,3669.9,613.2864656
2014,Sarawak,28731,2664,1078.490991
2014,Selangor,24102,6051.3,398.2945813
2014,Terengganu,13930,1140.4,1221.501228
2015,Johor,36912,3610.3,1022.40811
2015,Kedah,59888,2096.5,2856.570475
2015,Kelantan,15468,1760.6,878.5641259
2015,Kuala Lumpur,183859,1780.4,10326.83667
2015,Melaka,28539,889,3210.23622
2015,Negeri Sembilan,17011,1088.8,1562.362234
2015,Pahang,11677,1607.9,726.2267554
2015,Perak,39803,2466.9,1613.482508
2015,Pulau Pinang,40913,1698.1,2409.33985
2015,Sabah,23781,3720.5,639.1882811
2015,Sarawak,37478,2701.5,1387.30335
2015,Selangor,25210,6178,408.0608611
2015,Terengganu,15283,1161,1316.365202
2016,Johor,30601,3651.8,837.970316
2016,Kedah,58750,2119.7,2771.618625
2016,Kelantan,15111,1796.7,841.0419102
2016,Kuala Lumpur,180044,1789.7,10060.01006
2016,Melaka,29942,901.1,3322.827655
2016,Negeri Sembilan,17955,1099.3,1633.312108
2016,Pahang,10995,1626.7,675.9082806
2016,Perak,41848,2482.1,1685.991701
2016,Pulau Pinang,42515,1717.7,2475.112068
2016,Sabah,29269,3802.8,769.6697171
2016,Sarawak,35965,2738.7,1313.214299
2016,Selangor,24986,6291.5,397.1389971
2016,Terengganu,15308,1183.4,1293.560926
2017,Johor,34549,3697,934.5144712
2017,Kedah,61386,2143.9,2863.286534
2017,Kelantan,35,1829,1.913613997
2017,Kuala Lumpur,180602,1793.2,10071.4923
2017,Melaka,30233,913.1,3311.028365
2017,Negeri Sembilan,17111,1114,1535.996409
2017,Pahang,9552,1647,579.9635701
2017,Perak,41975,2493.2,1683.579336
2017,Pulau Pinang,41597,1744.1,2385.012327
2017,Sabah,33767,3855.9,875.7229181
2017,Sarawak,36617,2766.3,1323.681452
2017,Selangor,26016,6380.7,407.7295595
2017,Terengganu,15684,1208,1298.344371
2018,Johor,36684,3749.4,978.3965434
2018,Kedah,61869,2163,2860.332871
2018,Kelantan,14508,1860.5,779.7903789
2018,Kuala Lumpur,194026,1790,10839.44134
2018,Melaka,30170,922.4,3270.815265
2018,Negeri Sembilan,16976,1122.9,1511.799804
2018,Pahang,7095,1664.7,426.2029194
2018,Perak,44062,2503.5,1760.015978
2018,Pulau Pinang,43769,1762.8,2482.924892
2018,Sabah,33850,3898.4,868.3049456
2018,Sarawak,37290,2791.7,1335.745245
2018,Selangor,26932,6475,415.9382239
2018,Terengganu,17873,1228.3,1455.100545
2019,Johor,41261,3761.2,1097.016909
2019,Kedah,42506,2173.7,1955.467636
2019,Kelantan,11583,1883.8,614.8741905
2019,Kuala Lumpur,198506,1782.5,11136.38149
2019,Melaka,30233,928.4,3256.462732
2019,Negeri Sembilan,18306,1126.2,1625.466169
2019,Pahang,15810,1671.4,945.9136054
2019,Perak,41032,2508.8,1635.522959
2019,Pulau Pinang,43448,1768.8,2456.354591
2019,Sabah,36156,3904.4,926.0321688
2019,Sarawak,37567,2806,1338.809694
2019,Selangor,28065,6506.1,431.3644119
2019,Terengganu,16304,1244.5,1310.084371
2020,Johor,40705,4009.7,1015.163229
2020,Kedah,18876,2131.4,885.6150887
2020,Kelantan,12757,1792.5,711.6875872
2020,Kuala Lumpur,169941,1982.1,8573.785379
2020,Melaka,27536,998.4,2758.012821
2020,Negeri Sembilan,16398,1200,1366.5
2020,Pahang,22155,1591.3,1392.257902
2020,Perak,40086,2496,1606.009615
2020,Pulau Pinang,36512,1740.4,2097.908527
2020,Sabah,34069,3418.8,996.5192465
2020,Sarawak,33960,2453.7,1384.032278
2020,Selangor,29234,6994.4,417.9629418
2020,Terengganu,15361,1149.4,1336.436402
2021,Johor,40409,4020,1005.199005
2021,Kedah,19946,2151.7,926.987963
2021,Kelantan,12095,1812.3,667.3839872
2021,Kuala Lumpur,173967,1964,8857.790224
2021,Melaka,27956,1004.5,2783.076157
2021,Negeri Sembilan,14935,1204.2,1240.242485
2021,Pahang,22828,1601.5,1425.413675
2021,Perak,43151,2515.8,1715.199936
2021,Pulau Pinang,35211,1740,2023.62069
2021,Sabah,31210,3412.6,914.5519545
2021,Sarawak,35783,2465.6,1451.289747
2021,Selangor,26094,7014.7,371.990249
2021,Terengganu,16180,1170.7,1382.079098
2022,Johor,42832,4028.3,1063.277313
2022,Kedah,21128,2163.1,976.7463363
2022,Kelantan,15060,1830.6,822.6810882
2022,Kuala Lumpur,202413,1961.2,10320.87497
2022,Melaka,30510,1008.6,3024.985128
2022,Negeri Sembilan,15917,1207.9,1317.741535
2022,Pahang,23851,1614.3,1477.4825
2022,Perak,46498,2514.4,1849.268215
2022,Pulau Pinang,38420,1740.9,2206.904475
2022,Sabah,35530,3414.9,1040.440423
2022,Sarawak,40129,2473.5,1622.356984
2022,Selangor,29313,7050.3,415.7695417
2022,Terengganu,18226,1186.6,1535.985168
2023,Johor,43706,4107.2,1064.131282
2023,Kedah,21564,2189.3,984.9723656
2023,Kelantan,16716,1859.8,898.8063233
2023,Kuala Lumpur,206288,2005.7,10285.0875
2023,Melaka,28445,1028.3,2766.216085
2023,Negeri Sembilan,16417,1224.9,1340.272675
2023,Pahang,22803,1643.2,1387.719085
2023,Perak,46920,2541.2,1846.371793
2023,Pulau Pinang,41633,1772.6,2348.69683
2023,Sabah,39826,3596.7,1107.292796
2023,Sarawak,41593,2502.3,1662.190784
2023,Selangor,30132,7209.7,417.9369461
2023,Terengganu,19360,1210,1600
2024,Johor,45764,4184.4,1093.681292
2024,Kedah,20815,2217.1,938.839024
2024,Kelantan,18992,1887.9,1005.985487
2024,Kuala Lumpur,206856,2067.5,10005.12696
2024,Melaka,29387,1046.7,2807.585746
2024,Negeri Sembilan,16736,1239.5,1350.221864
2024,Pahang,24200,1667.7,1451.100318
2024,Perak,46449,2569.4,1807.776135
2024,Pulau Pinang,43035,1800.5,2390.169397
2024,Sabah,40274,3742,1076.269375
2024,Sarawak,41861,2517.5,1662.800397
2024,Selangor,32151,7362.7,436.6740462
