Year,Blood type,Total donations
2006,A,55036
2006,AB,14761
2006,B,59601
2006,O,89490
2007,A,69586
2007,AB,18466
2007,B,76405
2007,O,114915
2008,A,86363
2008,AB,22966
2008,B,95704
2008,O,143329
2009,A,96063
2009,AB,25276
2009,B,105134
2009,O,158802
2010,A,97388
2010,AB,26011
2010,B,107680
2010,O,162076
2011,A,103868
2011,AB,27110
2011,B,114119
2011,O,171647
2012,A,106617
2012,AB,27669
2012,B,116102
2012,O,174327
2013,A,110034
2013,AB,28323
2013,B,120188
2013,O,181348
2014,A,121349
2014,AB,31859
2014,B,133788
2014,O,200801
2015,A,133921
2015,AB,34528
2015,B,146690
2015,O,220675
2016,A,132512
2016,AB,33965
2016,B,145427
2016,O,221372
2017,A,132140
2017,AB,33084
2017,B,143818
2017,O,220071
2018,A,140098
2018,AB,35266
2018,B,153471
2018,O,236254
2019,A,139413
2019,AB,33811
2019,B,151449
2019,O,236088
2020,A,122946
2020,AB,29431
2020,B,134333
2020,O,210864
2021,A,121957
2021,AB,28767
2021,B,135879
2021,O,213142
2022,A,138191
2022,AB,31540
2022,B,151377
2022,O,238692
2023,A,142296
2023,AB,32066
2023,B,156154
2023,O,244860
2024,A,145457
2024,AB,32736
2024,B,158468
2024,O,250606
2025,A,145455
2025,AB,33009
2025,B,159273
2025,O,252099
