Year,Month,Blood type,Total donations
2020,1,all,42028.0
2020,2,all,46418.0
2020,3,all,37921.0
2020,4,all,31274.0
2020,5,all,39740.0
2020,6,all,45851.0
2020,7,all,39677.0
2020,8,all,50762.0
2020,9,all,38999.0
2020,10,all,43393.0
2020,11,all,41745.0
2020,12,all,39782.0
2021,1,all,42401.0
2021,2,all,41475.0
2021,3,all,44933.0
2021,4,all,37514.0
2021,5,all,43053.0
2021,6,all,43718.0
2021,7,all,31623.0
2021,8,all,44980.0
2021,9,all,42983.0
2021,10,all,40095.0
2021,11,all,42526.0
2021,12,all,44464.0
2022,1,all,44455.0
2022,2,all,38702.0
2022,3,all,48538.0
2022,4,all,38449.0
2022,5,all,49363.0
2022,6,all,54000.0
2022,7,all,47720.0
2022,8,all,47962.0
2022,9,all,46965.0
2022,10,all,51109.0
2022,11,all,43061.0
2022,12,all,49503.0
2023,1,all,46496.0
2023,2,all,47902.0
2023,3,all,53093.0
2023,4,all,37087.0
2023,5,all,51374.0
2023,6,all,54118.0
2023,7,all,48115.0
2023,8,all,48959.0
2023,9,all,47237.0
2023,10,all,47598.0
2023,11,all,45806.0
2023,12,all,47618.0
2024,1,all,49335.0
2024,2,all,46867.0
2024,3,all,51792.0
2024,4,all,42868.0
2024,5,all,53711.0
2024,6,all,50154.0
2024,7,all,47668.0
2024,8,all,49708.0
2024,9,all,47521.0
2024,10,all,50337.0
2024,11,all,47730.0
2024,12,all,49598.0
2025,1,all,47248.0
2025,2,all,53651.0
2025,3,all,40954.0
2025,4,all,50357.0
2025,5,all,54646.0
2025,6,all,48558.0
2025,7,all,50581.0
2025,8,all,52107.0
2025,9,all,44529.0
2025,10,all,48515.0
2025,11,all,51428.0
2025,12,all,47292.0
