Year,State,Total donations,Rank
2019,Johor,41261,4
2019,Kedah,42506,3
2019,Kelantan,11583,13
2019,Kuala Lumpur,198506,1
2019,Melaka,30233,8
2019,Negeri Sembilan,18306,10
2019,Pahang,15810,12
2019,Perak,41032,5
2019,Pulau Pinang,43448,2
2019,Sabah,36156,7
2019,Sarawak,37567,6
2019,Selangor,28065,9
2019,Terengganu,16304,11
2020,Johor,40705,2
2020,Kedah,18876,10
2020,Kelantan,12757,13
2020,Kuala Lumpur,169941,1
2020,Melaka,27536,8
2020,Negeri Sembilan,16398,11
2020,Pahang,22155,9
2020,Perak,40086,3
2020,Pulau Pinang,36512,4
2020,Sabah,34069,5
2020,Sarawak,33960,6
2020,Selangor,29234,7
2020,Terengganu,15361,12
2021,Johor,40409,3
2021,Kedah,19946,10
2021,Kelantan,12095,13
2021,Kuala Lumpur,173967,1
2021,Melaka,27956,7
2021,Negeri Sembilan,14935,12
2021,Pahang,22828,9
2021,Perak,43151,2
2021,Pulau Pinang,35211,5
2021,Sabah,31210,6
2021,Sarawak,35783,4
2021,Selangor,26094,8
2021,Terengganu,16180,11
2022,Johor,42832,3
2022,Kedah,21128,10
2022,Kelantan,15060,13
2022,Kuala Lumpur,202413,1
2022,Melaka,30510,7
2022,Negeri Sembilan,15917,12
2022,Pahang,23851,9
2022,Perak,46498,2
2022,Pulau Pinang,38420,5
2022,Sabah,35530,6
2022,Sarawak,40129,4
2022,Selangor,29313,8
2022,Terengganu,18226,11
2023,Johor,43706,3
2023,Kedah,21564,10
2023,Kelantan,16716,12
2023,Kuala Lumpur,206288,1
2023,Melaka,28445,8
2023,Negeri Sembilan,16417,13
2023,Pahang,22803,9
2023,Perak,46920,2
2023,Pulau Pinang,41633,4
2023,Sabah,39826,6
2023,Sarawak,41593,5
2023,Selangor,30132,7
2023,Terengganu,19360,11
2024,Johor,45764,3
2024,Kedah,20815,10
2024,Kelantan,18992,12
2024,Kuala Lumpur,206856,1
2024,Melaka,29387,8
2024,Negeri Sembilan,16736,13
2024,Pahang,24200,9
2024,Perak,46449,2
2024,Pulau Pinang,43035,4
2024,Sabah,40274,6
2024,Sarawak,41861,5
2024,Selangor,32151,7
2024,Terengganu,20769,11
2025,Johor,46673,2
2025,Kedah,21610,10
2025,Kelantan,19054,12
2025,Kuala Lumpur,207084,1
2025,Melaka,28845,8
2025,Negeri Sembilan,17608,13
2025,Pahang,24512,9
2025,Perak,46620,3
2025,Pulau Pinang,42850,4
2025,Sabah,38807,6
2025,Sarawak,42246,5
2025,Selangor,32546,7
2025,Terengganu,21411,11
2026,Johor,17948,2
2026,Kedah,8618,10
2026,Kelantan,7177,12
2026,Kuala Lumpur,76841,1
2026,Melaka,10143,8
2026,Negeri Sembilan,6853,13
2026,Pahang,9297,9
2026,Perak,17826,3
2026,Pulau Pinang,16401,4
2026,Sabah,14431,6
2026,Sarawak,16129,5
2026,Selangor,11118,7
2026,Terengganu,8382,11
